early,gender,birth,death,age
0,0,1821,1914,93
0,1,1826,1879,53
0,0,1833,1888,55
0,1,1833,1907,74
0,1,1838,1900,62
0,0,1840,1895,55
0,0,1843,1920,77
0,0,1844,1917,73
0,1,1845,1927,82
0,1,1846,1925,79
0,1,1846,1926,80
0,0,1849,1897,48
0,1,1849,1902,53
0,0,1849,1919,70
0,0,1852,1923,71
0,0,1854,1923,69
0,0,1854,1925,71
0,1,1857,1919,62
0,0,1860,1913,53
0,0,1860,1915,55
0,1,1862,1948,86
0,0,1862,1963,101
0,0,1863,1936,73
0,0,1864,1901,37
0,0,1864,1941,77
0,1,1864,1941,77
0,0,1864,1944,80
0,1,1865,1920,55
0,1,1865,1920,55
0,0,1867,1932,65
0,0,1867,1936,69
0,1,1868,1949,81
0,1,1868,1960,92
0,1,1869,1918,49
0,1,1870,1930,60
0,1,1871,1952,81
0,0,1873,1938,65
0,1,1875,1917,42
0,1,1876,1952,76
0,0,1877,1915,38
0,0,1881,1881,0
0,0,1882,1925,43
0,1,1884,1915,31
0,1,1884,1962,78
0,1,1885,1891,6
0,0,1885,1965,80
0,0,1885,1978,93
0,1,1887,1920,33
0,0,1887,1961,74
0,1,1888,1985,97
0,0,1890,1958,68
0,0,1891,1892,1
0,0,1891,1892,1
0,0,1892,1918,26
0,0,1893,1893,0
0,1,1893,1968,75
0,0,1894,1980,86
0,1,1894,1984,90
0,0,1895,1966,71
1,0,1900,1943,43
1,0,1901,1951,50
1,0,1901,1989,88
1,1,1901,1990,89
1,0,1902,1908,6
1,0,1902,1962,60
1,1,1902,1962,60
1,1,1902,1983,81
1,1,1902,2004,102
1,1,1903,1949,46
1,0,1903,1964,61
1,1,1903,1988,85
1,1,1904,1967,63
1,1,1906,1937,31
1,1,1908,1981,73
1,0,1908,1984,76
1,1,1908,1988,80
1,1,1909,1977,68
1,1,1911,2003,92
1,1,1912,1984,72
1,1,1912,2003,91
1,0,1913,1982,69
1,0,1913,2004,91
1,0,1913,2006,93
1,0,1914,1982,68
1,0,1914,1982,68
1,1,1914,1998,84
1,1,1914,2007,93
1,1,1914,2007,93
1,1,1915,1984,69
1,0,1915,1987,72
1,1,1916,1918,2
1,1,1916,2004,88
1,0,1917,1962,45
1,0,1917,1999,82
1,1,1919,1981,62
1,0,1919,1985,66
1,0,1919,1988,69
1,0,1919,1994,75
1,1,1920,1996,76
1,1,1920,1996,76
1,1,1920,2011,91
1,1,1920,2014,94
1,0,1921,1988,67
1,1,1921,1994,73
1,0,1921,2004,83
1,0,1922,2012,90
1,1,1922,2012,90
1,0,1923,2013,90
1,0,1924,2011,87
1,0,1926,2011,85
1,0,1927,2010,83
1,1,1928,2001,73
1,0,1931,2009,78
1,0,1940,1984,44
1,0,1941,2003,62
1,1,1946,2006,60
1,1,1949,2004,55
1,0,1952,1970,18
1,0,1964,1980,16
1,0,1966,1985,19
1,0,1967,2000,33
1,1,1990,1996,6
